Pasal,Isi Pasal
Pasal 147,1 jaring trayek butuh kendara motor lintas batas negara maksud pasal 145 ayat 3 huruf a menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan sesuai janji antarnegara 2 janji antarnegara maksud ayat 1 dasar atur undang
Pasal 148,jaring trayek butuh kendara motor maksud pasal 145 ayat 1 ayat 3 huruf b huruf c huruf d a menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan jaring trayek butuh kendara motor antarkota antarprovinsi kota lampau batas 1 provinsi b gubernur jaring trayek butuh kendara motor antarkota provinsi kota lampau batas 1 kabupaten kota 1 provinsi tuju menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan c bupati walikota jaring trayek butuh kendara motor kota 1 wilayah kabupaten kota tuju menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan
Pasal 149,jaring trayek butuh kendara motor desa maksud pasal 145 ayat 3 huruf e a bupati kawasan desa hubung 1 daerah kabupaten b gubernur kawasan desa lampau 1 daerah kabupaten 1 daerah provinsi c menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan kawasan desa lampau daerah provinsi
Pasal 150,kena angkut orang kendara motor trayek atur atur perintah paragraf 4
Pasal 151,layan angkut orang kendara motor trayek maksud pasal 140 huruf b a angkut orang taksi b angkut orang tuju c angkut orang pariwisata d angkut orang kawasan
Pasal 152,1 angkut orang taksi maksud pasal 151 huruf a layan angkut pintu pintu wilayah operasi kawasan kota 2 wilayah operasi kawasan kota maksud ayat 1 a wilayah kota b wilayah kabupaten c lampau wilayah kota wilayah kabupaten 1 daerah provinsi d lampau wilayah provinsi 3 wilayah operasi kawasan kota maksud ayat 2 maksimal butuh taksi a walikota taksi wilayah operasi wilayah kota b bupati taksi wilayah operasi wilayah kabupaten c gubernur taksi wilayah operasi lampau wilayah kota wilayah kabupaten 1 wilayah provinsi d menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan taksi wilayah operasi lampau wilayah provinsi
Pasal 153,1 angkut orang tuju maksud pasal 151 huruf b larang turun tumpang jalan layan angkut orang trayek 2 angkut orang tuju selenggara mobil tumpang mobil bus
Pasal 154,1 angkut orang pariwisata maksud pasal 151 huruf c layan angkut wisata 2 selenggara angkut orang pariwisata maksud ayat 1 mobil tumpang mobil bus tanda khusus 3 angkut orang pariwisata kendara motor trayek kecuali daerah sedia angkut khusus pariwisata
Pasal 155,1 angkut kawasan maksud pasal 151 huruf d laksana pelayanaan angkut jalan lokal jalan lingkung 2 angkut orang kawasan maksud ayat 1 mobil tumpang
Pasal 156,evaluasi wilayah operasi butuh angkut orang trayek laku 1 masyarakat
Pasal 157,kena angkut orang kendara motor trayek atur atur menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan
Pasal 158,1 perintah jamin sedia angkut massal bas jalan penuh butuh angkut orang kendara motor kawasan kota 2 angkut massal maksud ayat 1 dukung a mobil bus kapasitas angkut massal b lajur khusus c trayek angkut impit trayek angkut massal d angkut umpan
Pasal 159,kena angkut massal maksud pasal 158 atur atur menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan angkut barang kendara motor paragraf 1
Pasal 160,angkut barang kendara motor a angkut barang b angkut barang khusus paragraf 2 angkut barang
Pasal 161,angkut barang maksud pasal 160 huruf a penuh syarat a prasarana jalan penuh kelas jalan b sedia pusat distribusi logistik muat bongkar barang c mobil barang paragraf 3
Pasal 162,1 kendara motor angkut barang khusus wajib a penuh syarat selamat sesuai sifat bentuk barang angkut b tanda sesuai barang angkut c parkir kendara d bongkar muat barang alat sesuai sifat bentuk barang angkut e operasi ganggu aman selamat lancar tertib lalu-lintas angkut jalan f rekomendasi instansi kait 2 kendara motor angkut alat berat dimensi dimensi maksud pasal 19 polisi negara republik indonesia 3 kemudi bantu kemudi kendara motor angkut barang khusus wajib milik kompetensi sesuai sifat bentuk barang khusus angkut
Pasal 163,1 milik agen ekspedisi muat angkut barang kirim serah barang khusus wajib memberitahukan kelola gudang selenggara angkut barang barang muat kendara motor 2 selenggara angkut barang laku giat angkut barang khusus wajib sedia simpan tanggung hadap susun sistem prosedur tangan barang khusus bahaya barang muat kendara motor
Pasal 164,kena angkut barang kendara motor atur atur menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan angkut multimoda
Pasal 165,1 angkut jalan rupa angkut multimoda laksana badan hukum angkut multimoda 2 giat angkut angkut multimoda laksana dasar janji badan hukum angkut jalan badan hukum angkut multimoda badan hukum moda 3 layan angkut multimoda padu sistem izin perintah 4 kena angkut multimoda syarat tata izin maksud ayat 1 atur atur perintah enam dokumen angkut orang barang kendara motor
Pasal 166,1 angkut orang kendara motor layan trayek lintas batas negara antarkota antarprovinsi antarkota provinsi lengkap dokumen 2 dokumen angkut orang maksud ayat 1 liput a tiket tumpang angkut trayek b tanda kenal bagasi c manifes 3 angkut barang kendara motor wajib lengkap dokumen liput a surat janji angkut b surat muat barang
Pasal 167,1 usaha angkut orang wajib a serah tiket tumpang b serah tanda bukti bayar angkut angkut trayek c serah tanda kenal bagasi tumpang d serah manifes kemudi 2 tiket tumpang orang nama cantum tiket sesuai dokumen identitas sah
Pasal 168,1 usaha angkut angkut barang wajib surat muat barang dokumen jalan 2 usaha angkut angkut barang wajib surat janji angkut barang tujuh awas muat barang
Pasal 169,1 kemudi usaha angkut barang wajib patuh kena tata muat daya angkut dimensi kendara kelas jalan 2 awas penuh hadap maksud ayat 1 laku awas muat angkut barang 3 awas muat angkut barang laku alat timbang 4 alat timbang maksud ayat 3 a alat timbang pasang b alat timbang pindah
Pasal 170,1 alat timbang pasang maksud pasal 169 ayat 4 huruf a pasang lokasi 2 lokasi operasi tutup alat timbang pasang jalan maksud ayat 1 laku perintah 3 operasi awat alat timbang pasang laku unit laksana timbang perintah 4 tugas alat timbang pasang wajib data jenis barang angkut berat angkut tuju
Pasal 171,1 alat timbang pindah maksud pasal 169 ayat 4 huruf b periksa kendara motor jalan sidi tindak pidana langgar muat 2 operasi alat timbang periksa kendara motor jalan maksud ayat 1 laku tugas periksa kendara motor 3 operasi alat timbang maksud ayat 1 laku tugas polisi negara republik indonesia
Pasal 172,kena awas muat angkut barang atur atur perintah delap usaha angkut paragraf 1 izin angkut
Pasal 173,1 usaha angkut selenggara angkut orang barang wajib milik a izin selenggara angkut orang trayek b izin selenggara angkut orang trayek c izin selenggara angkut barang khusus alat berat 2 wajib milik izin maksud ayat 1 laku a angkut orang sakit ambulans b angkut jenazah
Pasal 174,1 izin maksud pasal 173 ayat 1 upa dokumen kontrak kartu elektronik surat putus surat nyata kartu awas 2 izin maksud ayat 1 laksana seleksi lelang sesuai atur undang 3 izin maksud ayat 1 upa izin 1 trayek trayek kawasan
Pasal 175,1 izin selenggara angkut laku jangka 2 izin proses seleksi lelang maksud pasal 174 ayat 2 paragraf 2 izin selenggara angkut orang trayek
Pasal 176,izin selenggara angkut orang trayek maksud pasal 173 ayat 1 huruf a a menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan selenggara angkut orang layan 1 trayek lintas batas negara sesuai janji antarnegara 2 trayek antarkabupaten kota lampau wilayah 1 provinsi 3 trayek angkut kota lampau wilayah 1 provinsi 4 trayek desa wilayah 1 provinsi b gubernur selenggara angkut orang layan 1 trayek antarkota lampau wilayah 1 kabupaten kota 1 provinsi 2 trayek angkut kota lampau wilayah 1 kabupaten kota provinsi 3 trayek desa lampau wilayah 1 kabupaten provinsi c gubernur daerah khusus ibukota jakarta selenggara angkut orang layan trayek wilayah provinsi daerah khusus ibukota jakarta d bupati selenggara angkut orang layan 1 trayek desa 1 wilayah kabupaten 2 trayek kota 1 wilayah kabupaten e walikota selenggara angkut orang layan trayek kota 1 wilayah kota
Pasal 177,pegang izin selenggara angkut orang trayek wajib a laksana izin b operasi kendara motor sesuai standar layan minimal maksud pasal 141 ayat 1
Pasal 178,kena izin selenggara angkut orang trayek atur atur menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan paragraf 3
Pasal 179,1 izin selenggara angkut orang trayek maksud pasal 173 ayat 1 huruf b a menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan angkut orang layan 1 angkut taksi wilayah operasi lampau 1 daerah provinsi 2 angkut tuju 3 angkut pariwisata b gubernur angkut taksi wilayah operasi lampau 1 daerah kabupaten kota 1 provinsi c gubernur daerah khusus ibukota jakarta angkut taksi angkut kawasan wilayah operasi wilayah provinsi daerah khusus ibukota jakarta d bupati walikota taksi angkut kawasan wilayah operasi wilayah kabupaten kota 2 kena tata syarat izin maksud ayat 1 atur atur menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan paragraf 4
Pasal 180,1 izin selenggara angkut barang khusus maksud pasal 173 ayat 1 huruf c menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan rekomendasi instansi kait 2 izin selenggara angkut alat berat maksud pasal 173 ayat 1 huruf c menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan 3 kena tata syarat izin selenggara angkut barang khusus alat berat atur atur menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan
Pasal 181,1 tarif angkut tarif tumpang tarif barang 2 tarif tumpang maksud ayat 1 a tarif tumpang angkut orang trayek b tarif tumpang angkut orang trayek
Pasal 182,1 tarif tumpang angkut orang trayek a tarif kelas ekonomi b tarif kelas nonekonomi 2 tarif kelas ekonomi maksud ayat 1 laku a menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan angkut orang layan trayek antarkota antarprovinsi angkut kota angkut desa wilayah layan lampau wilayah provinsi b gubernur angkut orang layan trayek antarkota provinsi angkut kota desa lampau batas kabupaten kota provinsi c bupati angkut orang layan trayek antarkota kabupaten angkut kota desa wilayah layan kabupaten d walikota angkut orang layan trayek angkut kota wilayah layan kota 3 tarif tumpang angkut orang trayek kelas nonekonomi usaha angkut 4 kena tarif tumpang maksud ayat 1 atur atur menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan
Pasal 183,1 tarif tumpang angkut orang trayek taksi maksud pasal 151 huruf a usaha angkut tuju perintah sesuai wenang dasar standar layan minimal 2 tarif tumpang angkut orang trayek tuju pariwisata kawasan maksud pasal 151 huruf b huruf c huruf d dasar sepakat jasa usaha angkut
Pasal 184,tarif angkut barang maksud pasal 181 ayat 2 huruf b dasar sepakat jasa usaha angkut puluh
Pasal 185,1 angkut tumpang tarif kelas ekonomi trayek subsidi perintah perintah daerah 2 kena subsidi angkut tumpang maksud ayat 1 atur atur perintah sebelas wajib hak tanggung usaha angkut paragraf 1
Pasal 186,usaha angkut wajib angkut orang barang pakat janji angkut laku bayar biaya angkut tumpang kirim barang
Pasal 187,usaha angkut wajib biaya angkut bayar tumpang kirim barang batal berangkat
Pasal 188,usaha angkut wajib ganti rugi derita tumpang kirim barang lalai laksana layan angkut
Pasal 189,usaha angkut wajib asuransi tanggung maksud pasal 188
Pasal 190,kemudi kendara motor turun tumpang barang angkut henti tumpang barang angkut bahaya aman selamat angkut
Pasal 191,usaha angkut tanggung rugi akibat orang kerja giat selenggara angkut
Pasal 192,1 usaha angkut tanggung rugi derita tumpang tinggal dunia luka akibat selenggara angkut kecuali cegah hindar salah tumpang 2 rugi maksud ayat 1 hitung dasar rugi nyata alami biaya layan 3 tanggung maksud ayat 1 tumpang angkut tuju pakat 4 angkut tanggung rugi barang bawa tumpang kecuali tumpang bukti rugi salah lalai angkut 5 kena ganti rugi atur atur perintah
Pasal 193,1 usaha angkut tanggung rugi derita kirim barang barang musnah hilang rusak akibat selenggara angkut kecuali bukti musnah hilang rusak barang cegah hindar salah kirim 2 rugi maksud ayat 1 hitung dasar rugi nyata alami 3 tanggung maksud ayat 1 barang angkut barang serah tuju pakat 4 usaha angkut tanggung rugi cantum terang sesuai surat muat angkut barang 5 kena ganti rugi atur atur perintah
Pasal 194,1 usaha angkut tanggung rugi derita kecuali bukti rugi salah usaha angkut 2 hak aju berat ganti rugi usaha angkut maksud ayat 1 lambat 30 puluh hitung tanggal rugi paragraf 2
Pasal 195,1 usaha angkut hak tahan barang angkut kirim terima penuh wajib batas sesuai janji angkut 2 usaha angkut hak mungut biaya barang simpan ambil sesuai sepakat 3 usaha angkut hak jual barang angkut lelang sesuai atur undang kirim terima penuh wajib sesuai sepakat maksud ayat 1
Pasal 196,barang angkut ambil kirim terima sesuai batas pakat usaha angkut hak musnah barang sifat bahaya ganggu simpan sesuai atur perundang- undang belas tanggung selenggara
Pasal 197,1 perintah perintah daerah selenggara angkut wajib a jamin jasa angkut layan b lindung usaha angkut jaga imbang sedia angkut c laku pantau evaluasi hadap angkut orang barang 2 kena tanggung selenggara angkut maksud ayat 1 atur atur menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan belas industri jasa angkut
Pasal 198,1 jasa angkut kembang industri jasa penuh standar layan dorong saing sehat 2 wujud standar layan saing sehat maksud ayat 1 perintah perintah daerah a segmentasi klasifikasi pasar b standar layan minimal c kriteria saing sehat d dorong cipta pasar e kendali awas kembang industri jasa angkut 3 kena standar layan saing sehat atur atur perintah belas sanksi administratif
Pasal 199,1 orang langgar maksud pasal 167 pasal 168 pasal 173 pasal 177 pasal 186 pasal 187 pasal 189 pasal 192 pasal 193 kena sanksi administratif upa a tulis b denda administratif c beku izin d cabut izin 2 kena kriteria tata kena sanksi administratif maksud ayat 1 atur atur menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan
Pasal 200,1 polisi negara republik indonesia tanggung selenggara giat wujud pelihara aman lalu-lintas angkut jalan 2 selenggara giat maksud ayat 1 laku kerja bina lalu-lintas angkut jalan masyarakat 3 wujud pelihara aman lalu-lintas angkut jalan maksud ayat 1 laksana giat a susun program nasional aman lalu-lintas angkut jalan b sedia pelihara fasilitas lengkap aman lalu-lintas angkut jalan c laksana didik latih bimbing suluh terang berlalu-lintas rangka tingkat sadar hukum etika masyarakat berlalu-lintas d kaji aman lalu-lintas angkut jalan e manajemen aman lalu-lintas f atur jaga patroli g registrasi identifikasi kendara motor kemudi h tega hukum lalu-lintas
Pasal 201,1 usaha angkut wajib laksana sempurna sistem aman pedoman program nasional aman lalu-lintas angkut jalan 2 kendara motor lengkap alat informasi mudah deteksi jahat kendara motor
Pasal 202,kena program nasional aman lalu-lintas angkut jalan maksud pasal 200 pasal 201 atur atur kepala polisi negara republik indonesia
Pasal 203,1 perintah tanggung jamin selamat lalu-lintas angkut jalan 2 jamin selamat lalu-lintas angkut jalan maksud ayat 1 rencana nasional selamat lalu-lintas angkut jalan liput a susun program nasional giat selamat lalu-lintas angkut jalan b sedia pelihara fasilitas lengkap selamat lalu-lintas angkut jalan c kaji selamat lalu-lintas angkut jalan d manajemen selamat lalu-lintas angkut jalan
Pasal 204,1 usaha angkut wajib laksana sempurna sistem manajemen selamat pedoman rencana nasional selamat lalu-lintas angkut jalan 2 kendara motor lengkap alat informasi celaka lalu-lintas pusat kendali sistem selamat lalu-lintas angkut jalan
Pasal 205,kena rencana nasional selamat lalu-lintas angkut jalan maksud pasal 203 ayat 2 wajib usaha angkut laksana sempurna sistem manajemen selamat syarat alat informasi celaka lalu-lintas maksud pasal 204 atur atur perintah awas aman selamat lalu-lintas angkut jalan
Pasal 206,1 awas hadap laksana program aman selamat lalu-lintas angkut jalan liput a audit b inspeksi c pantau 2 audit bidang aman lalu-lintas angkut jalan maksud ayat 1 huruf a laksana auditor independen kepala polisi negara republik indonesia 3 audit bidang selamat lalu-lintas angkut jalan maksud ayat 1 huruf a laksana auditor independen bina lalu-lintas angkut jalan 4 inspeksi bidang aman lalu-lintas angkut jalan maksud ayat 1 huruf b laksana periodik dasar skala prioritas kepala polisi negara republik indonesia 5 inspeksi bidang selamat lalu-lintas angkut jalan maksud ayat 1 huruf b laksana periodik dasar skala prioritas bina lalu-lintas angkut jalan 6 pantau maksud ayat 1 huruf c wajib laksana bina lalu-lintas angkut jalan 7 hasil awas maksud ayat 1 ditindaklanjuti tindak korektif tega hukum
Pasal 207,kena awas aman selamat lalu-lintas angkut jalan maksud pasal 206 ayat 1 atur atur perintah
Pasal 208,1 bina lalu-lintas angkut jalan bertangggung bangun wujud budaya aman selamat lalu-lintas angkut jalan 2 upaya bangun wujud budaya aman selamat lalu-lintas angkut jalan maksud ayat 1 laku a laksana didik berlalu-lintas usia b sosialisasi internalisasi tata etika berlalu-lintas program aman selamat lalu-lintas angkut jalan c harga hadap tindak aman selamat lalu-lintas angkut jalan d cipta lingkung ruang lalu-lintas dorong jalan perilaku tertib e tega hukum konsisten 3 bina lalu-lintas angkut jalan bijak program wujud budaya aman selamat berlalu-lintas
Pasal 209,1 jamin lestari lingkung giat bidang lalu-lintas angkut jalan laku cegah tanggulang cemar lingkung hidup penuh baku mutu lingkung sesuai atur undang 2 kena cegah tanggulang cemar lingkung hidup bidang lalu-lintas angkut jalan maksud ayat 1 atur atur perintah cegah tanggulang
Pasal 210,1 kendara motor operasi jalan wajib penuh syarat ambang batas emisi gas buang tingkat bising 2 kena tata syarat prosedur tangan ambang batas emisi gas buang tingkat bising akibat kendara motor maksud ayat 1 atur atur perintah
Pasal 211,milik kemudi kendara motor usaha angkut wajib cegah cemar udara bising
Pasal 212,milik kemudi kendara motor usaha angkut wajib laku hadap kendara rusa akibat cemar udara bising hak wajib paragraf 1 wajib perintah
Pasal 213,1 perintah wajib awas patuh jalan jaga lestari lingkung hidup selenggara lalu-lintas angkut jalan 2 laksana maksud ayat 1 perintah wajib a rumus bijak strategi program bangun lalu-lintas angkut jalan ramah lingkung b bangun kembang sarana prasarana lalu-lintas angkut jalan ramah lingkung c laku awas bina hadap usaha angkut milik kemudi kendara motor operasi jalan d informasi akurat lestari lingkung bidang lalu-lintas angkut jalan paragraf 2
Pasal 214,1 usaha angkut hak mudah selenggara lalu-lintas angkut jalan ramah lingkung 2 usaha angkut hak informasi kena lestari lingkung bidang lalu-lintas angkut jalan
Pasal 215,usaha angkut wajib a laksana program bangun lalu-lintas angkut jalan ramah lingkung perintah b sedia sarana lalu-lintas angkut jalan ramah lingkung c informasi jujur kena kondisi jasa angkut d kena pelihara sarana angkut e patuh baku mutu lingkung hidup paragraf 3
Pasal 216,1 masyarakat hak ruang lalu-lintas ramah lingkung 2 masyarakat hak informasi lestari lingkung bidang lalu-lintas angkut jalan
Pasal 217,masyarakat wajib jaga lestari lingkung bidang lalu-lintas angkut jalan sanksi administratif
Pasal 218,1 langgar hadap kena dampak lingkung lalu-lintas angkut jalan maksud pasal 211 kena sanksi administratif upa a tulis b denda administratif c beku izin d cabut izin 2 kena tata kriteria kena sanksi administratif maksud ayat 1 atur atur perintah
Pasal 219,1 kembang industri teknologi sarana prasarana lalu-lintas angkut jalan liput a rancang bangun pelihara kendara motor b alat tega hukum c alat uji laik kendara d fasilitas aman selamat tertib lancar lalu-lintas angkut jalan e alat registrasi identifikasi kendara kemudi f teknologi informasi lalu-lintas angkut jalan g fasilitas didik latih personel lalu-lintas angkut jalan h komponen dukung kendara motor 2 daya industri kembang teknologi lalu-lintas angkut jalan maksud ayat 1 laku a kembang riset rancang bangun kendara motor b kembang standardisasi kendara komponen kendara motor c alih teknologi d muat lokal e kembang industri bahan baku komponen f mudah fasilitas biaya paja g fasilitas kerja industri jenis h fasilitas kerja pasar negeri
Pasal 220,1 kembang rancang bangun kendara motor maksud pasal 219 ayat 1 huruf a kembang riset rancang bangun maksud ayat 2 huruf a laku a perintah b perintah daerah c badan hukum d lembaga teliti e guru 2 kembang rancang bangun kendara motor maksud ayat 1 wajib perhati a dimensi utama konstruksi kendara motor b sesuai material c sesuai motor gerak d sesuai daya dukung jalan e bentuk fisik kendara motor f dimensi konstruksi posisi jarak duduk g posisi lampu h duduk i dimensi konstruksi bak muat volume tangki j kendara motor k fasilitas darurat 3 rancang bangun maksud ayat 2 kesah menteri tanggung bidang sarana prasarana lalu-lintas angkut jalan
Pasal 221,daya industri kembang teknologi lalu-lintas angkut jalan maksud pasal 219 ayat 2 laksana manfaat sumber daya nasional terap standar aman selamat perhati lestari lingkung kembang industri teknologi prasarana lalu-lintas angkut jalan
Pasal 222,1 perintah wajib kembang industri teknologi prasarana jamin aman selamat tertib lancar lalu-lintas angkut jalan 2 kembang industri teknologi prasarana lalu-lintas angkut jalan laku padu dukung sektor kait 3 kembang industri teknologi maksud ayat 1 liput modernisasi fasilitas a atur lalu-lintas angkut jalan b tega hukum c uji kelai kendara d aman selamat tertib lancar lalu-lintas angkut jalan e awas lalu-lintas angkut jalan f registrasi identifikasi kendara motor kemudi g sistem informasi komunikasi lalu-lintas angkut jalan h selamat kemudi tumpang 4 metode kembang industri teknologi liput a paham teknologi b alih teknologi c fasilitas riset teknologi 5 kembang industri teknologi maksud ayat 3 kesah instansi kait daya industri prasarana lalu-lintas
Pasal 223,1 kembang industri prasarana lalu-lintas angkut jalan maksud pasal 222 ayat 2 perintah dorong daya industri negeri 2 dorong kembang industri negeri maksud ayat 1 laku fasilitas insentif bidang terap standar produk alat lalu-lintas angkut jalan
Pasal 224,1 kembang industri prasarana lalu-lintas angkut jalan a rekayasa b produksi c rakit d pelihara 2 kembang industri prasarana lalu-lintas angkut jalan cakup alih teknologi sesuai arif lokal atur
Pasal 225,kena kembang industri teknologi prasarana lalu-lintas angkut jalan atur atur perintah
Pasal 226,1 cegah celaka lalu-lintas laksana a partisipasi mang b daya masyarakat c tega hukum d mitra global 2 cegah celaka lalu-lintas maksud ayat 1 laku pola tahap liput program jangka pendek jangka jangka 3 susun program cegah celaka lalu-lintas laku forum lalu-lintas angkut jalan koordinasi polisi negara republik indonesia tangan celaka lalu-lintas paragraf 1
Pasal 227,celaka lalu-lintas tugas polisi negara republik indonesia wajib laku tangan celaka lalu-lintas a b tolong korban c laku tindak perkara d olah perkara e atur lancar arus lalu-lintas f aman barang bukti g laku sidi perkara
Pasal 228,kena tata tangan celaka lalu-lintas atur atur kepala polisi negara republik indonesia paragraf 2 golong tangan perkara celaka lalu-lintas
Pasal 229,1 celaka lalu-lintas golong a celaka lalu-lintas ringan b celaka lalu-lintas c celaka lalu-lintas berat 2 celaka lalu-lintas ringan maksud ayat 1 huruf a rupa celaka akibat rusa kendara barang 3 celaka lalu-lintas maksud ayat 1 huruf b rupa celaka akibat luka ringan rusa kendara barang 4 celaka lalu-lintas berat maksud ayat 1 huruf c rupa celaka akibat korban tinggal dunia luka berat 5 celaka lalu-lintas maksud ayat 1 lalai jalan ketidaklaikan kendara ketidaklaikan jalan lingkung
Pasal 230,perkara celaka lalu-lintas maksud pasal 229 ayat 2 ayat 3 ayat 4 proses acara adil pidana sesuai atur undang paragraf 3 tolong awat korban
Pasal 231,1 kemudi kendara motor libat celaka lalu-lintas wajib a henti kendara kemudi b tolong korban c lapor celaka polisi negara republik indonesia d terang kait celaka 2 kemudi kendara motor paksa laksana maksud ayat 1 huruf a huruf b lapor polisi negara republik indonesia
Pasal 232,orang dengar lihat celaka lalu-lintas wajib a tolong korban celaka lalu-lintas b lapor celaka polisi negara republik indonesia c terang polisi negara republik indonesia paragraf 4
Pasal 233,1 celaka wajib catat formulir data celaka lalu-lintas 2 data celaka lalu-lintas maksud ayat 1 rupa data forensik 3 data celaka lalu-lintas maksud ayat 1 lengkap data rumah sakit 4 data celaka lalu-lintas maksud ayat 1 kelola polisi negara republik indonesia manfaat bina lalu-lintas angkut jalan wajib tanggung paragraf 1 wajib tanggung kemudi
Pasal 234,1 kemudi milik kendara motor usaha angkut tanggung rugi derita tumpang milik barang lalai kemudi 2 kemudi milik kendara motor usaha angkut tanggung rusa jalan lengkap jalan lalai salah kemudi 3 maksud ayat 1 ayat 2 laku a paksa elak kemudi b perilaku korban c gera orang hewan ambil tindak cegah
Pasal 235,1 korban tinggal dunia akibat celaka lalu-lintas maksud pasal 229 ayat 1 huruf c kemudi milik usaha angkut wajib bantu ahli waris korban upa biaya obat biaya makam gugur tuntut perkara pidana 2 cedera hadap badan sehat korban akibat celaka lalu-lintas maksud pasal 229 ayat 1 huruf b huruf c kemudi milik usaha angkut wajib bantu korban upa biaya obat gugur tuntut perkara pidana
Pasal 236,1 celaka lalu-lintas maksud pasal 229 wajib ganti rugi dasar putus adil 2 wajib ganti rugi maksud ayat 1 celaka lalu-lintas maksud pasal 229 ayat 2 laku adil sepakat damai libat
Pasal 237,1 usaha angkut wajib program asuransi celaka wujud tanggung jamin asuransi korban celaka 2 usaha angkut wajib asuransi orang kerja awak kendara paragraf 2
Pasal 238,1 perintah sedia atur sarana prasarana lalu-lintas celaka 2 perintah sedia alokasi dana cegah tangan celaka lalu-lintas
Pasal 239,1 perintah kembang program asuransi celaka lalu-lintas angkut jalan 2 perintah bentuk usaha asuransi celaka lalu-lintas angkut jalan sesuai atur undang hak korban
Pasal 240,korban celaka lalu-lintas hak a tolong awat tanggung celaka lalu-lintas perintah b ganti rugi tanggung celaka lalu-lintas c santun celaka lalu-lintas usaha asuransi
Pasal 241,korban celaka lalu-lintas hak pengutamaaan tolong awat rumah sakit sesuai atur undang
Pasal 242,1 perintah perintah daerah usaha angkut wajib laku khusus bidang lalu-lintas angkut jalan sandang cacat manusia usia anak wanita hamil orang sakit 2 laku khusus maksud ayat 1 liput a aksesibilitas b prioritas layan c fasilitas layan 3 kena laku khusus bidang lalu-lintas angkut jalan sandang cacat manusia usia anak wanita hamil orang sakit atur atur perintah
Pasal 243,masyarakat kelompok aju gugat perintah perintah daerah kena penuh laku khusus maksud pasal 242 sesuai atur undang
Pasal 244,1 usaha angkut penuh wajib sedia sarana prasarana layan sandang cacat manusia usia anak wanita hamil orang sakit maksud pasal 242 ayat 1 kena sanksi administratif upa a tulis b denda administratif c beku izin d cabut izin 2 kena kriteria tata kena sanksi administratif maksud ayat 1 atur atur perintah
Pasal 245,1 dukung aman selamat tertib lancar lalu-lintas angkut jalan selenggara sistem informasi komunikasi padu 2 selenggara sistem informasi komunikasi lalu-lintas angkut jalan laksana perintah perintah provinsi perintah kabupaten kota dasar atur perundang- undang 3 sistem informasi komunikasi lalu-lintas angkut jalan maksud ayat 1 giat rencana atur kendali awas operasional lalu-lintas angkut jalan liput a bidang prasarana jalan b bidang sarana prasarana lalu-lintas angkut jalan c bidang registrasi identifikasi kendara motor kemudi tega hukum operasional manajemen rekayasa lalu-lintas didik berlalu-lintas
Pasal 246,1 sistem informasi komunikasi lalu-lintas angkut jalan maksud pasal 245 ayat 2 rupa subsistem sistem informasi komunikasi lalu-lintas angkut jalan 2 sistem informasi komunikasi lalu-lintas angkut jalan padu maksud ayat 1 kendali pusat kendali integrasi data informasi komunikasi subsistem 3 data informasi komunikasi maksud ayat 2 akses bina lalu-lintas angkut jalan
Pasal 247,1 wujud sistem informasi komunikasi lalu-lintas angkut jalan maksud pasal 246 ayat 1 bina lalu-lintas angkut jalan wajib kelola subsistem informasi komunikasi lalu-lintas angkut jalan sesuai wenang 2 subsistem informasi komunikasi bangun bina lalu-lintas angkut jalan integrasi pusat kendali sistem informasi komunikasi lalu-lintas angkut jalan 3 pusat kendali maksud ayat 2 kelola polisi negara republik indonesia
Pasal 248,1 penuh tugas pokok fungsi mang kembang sistem informasi komunikasi lalu-lintas angkut jalan liput sistem struktur jaring informasi jaring komunikasi pusat data 2 sistem struktur jaring informasi jaring komunikasi pusat data liput a rencana b rumus bijak c pantau d awas e kendali f informasi geografi g lacak h informasi jalan deteksi arus lalu-lintas i kenal tanda nomor kendara motor j identifikasi kendara motor ruang lalu-lintas pusat kendali sistem informasi komunikasi
